DNASE	iPS_DF_6.9_male_newborn	293	0	ENCFF669AED	ENCFF668UYX	yellow
H3K27ac	iPS_DF_6.9_male_newborn	4149	1	ENCFF426AIF	ENCFF756WJX	yellow
H3K4me1	iPS_DF_6.9_male_newborn	4094	2	ENCFF281HOI	ENCFF211VYM	red
H3K4me3 iPS_DF_6.9_male_newborn 2264 3 ENCFF455FFY ENCFF150NDM	yellow
H3K27me3 iPS_DF_6.9_male_newborn 4281 4 ENCFF792VIR ENCFF292KOH	red
DNASE	foreskin_melanocyte_male_newborn	380	5	ENCFF520XMG	ENCFF513SMY	no_flags
H3K27ac foreskin_melanocyte_male_newborn 2162 6 ENCFF174WXW ENCFF329IPA	yellow
H3K4me1 foreskin_melanocyte_male_newborn 1601 7 ENCFF376KWR ENCFF712MYO	red
H3K4me3 foreskin_melanocyte_male_newborn 2518 8 ENCFF089RTD ENCFF981CXY	yellow
H3K27me3 foreskin_melanocyte_male_newborn 1912 9 ENCFF913FVO ENCFF250MQB	red
DNASE	neural_progenitor_cell_originated_from_H9	657	10	ENCFF417MBH	ENCFF502QXW	yellow
H3K27ac neural_progenitor_cell_originated_from_H9 2839 11 ENCFF520NLE ENCFF049KZB	yellow
H3K4me1 neural_progenitor_cell_originated_from_H9 2298 12 ENCFF291KNR ENCFF149WZA	yellow
H3K4me3 neural_progenitor_cell_originated_from_H9 3486 13 ENCFF651TUQ ENCFF265QBE	yellow
H3K27me3 neural_progenitor_cell_originated_from_H9 1887 14 ENCFF486KWO ENCFF952CAH		yellow
DNASE	mesenchymal_stem_cell_originated_from_H1-hESC	533	15	ENCFF594UFP	ENCFF536PSZ	no_flags
H3K27ac mesenchymal_stem_cell_originated_from_H1-hESC 1488 16 ENCFF301WTK ENCFF286VHR	red
H3K4me1 mesenchymal_stem_cell_originated_from_H1-hESC 1639 17 ENCFF678FKJ ENCFF905PYL	red
H3K4me3 mesenchymal_stem_cell_originated_from_H1-hESC 3002 18 ENCFF712CJP ENCFF570CII	red
H3K27me3 mesenchymal_stem_cell_originated_from_H1-hESC 4021 19 ENCFF512OYQ ENCFF998IEU	red
DNASE	iPS_DF_19.11_male_newborn	357	20	ENCFF294LWY	ENCFF172GXY	yellow
H3K27ac iPS_DF_19.11_male_newborn 3019 21 ENCFF787RFT ENCFF037RXP	red
H3K4me1 iPS_DF_19.11_male_newborn 2390 22 ENCFF092ORD ENCFF314LSR	red
H3K4me3 iPS_DF_19.11_male_newborn 4186 23 ENCFF488WNX ENCFF450VVJ	yellow
H3K27me3 iPS_DF_19.11_male_newborn 1761 24 ENCFF360BPK ENCFF844FEB  red
DNASE	hepatocyte_originated_from_H9	347	25	ENCFF136YOJ	ENCFF592AII	yellow
H3K27ac hepatocyte_originated_from_H9 3025 26 ENCFF606PZU ENCFF953FGP	yellow
H3K4me1 hepatocyte_originated_from_H9 3569 27 ENCFF838FBE ENCFF449GNW	red
H3K4me3 hepatocyte_originated_from_H9 2816 28 ENCFF735SZZ ENCFF407ERA	yellow
H3K27me3 hepatocyte_originated_from_H9 3418 29 ENCFF435FIF ENCFF732JQO no_flags
DNASE	foreskin_keratinocyte_male_newborn	183	30	ENCFF971NFK	ENCFF442IPQ	no_flags
H3K27ac foreskin_keratinocyte_male_newborn 3501 31 ENCFF061ZZS ENCFF113RWB	yellow
H3K4me1 foreskin_keratinocyte_male_newborn 1489 32 ENCFF103CRE ENCFF698PDL	red
H3K4me3 foreskin_keratinocyte_male_newborn 1678 33 ENCFF491HAF ENCFF772HSG	yellow
H3K27me3 foreskin_keratinocyte_male_newborn 2281 34 ENCFF011VAN ENCFF286NYV	red
DNASE	mesendoderm_originated_from_H1-hESC	526	35	ENCFF918FRW	ENCFF476ZZV	none
H3K27ac mesendoderm_originated_from_H1-hESC 2899 36 ENCFF313DOD ENCFF808YDZ	yellow
H3K4me1 mesendoderm_originated_from_H1-hESC 3494 37 ENCFF404GUH ENCFF070HOL	red
H3K4me3 mesendoderm_originated_from_H1-hESC 2806 38 ENCFF748XLQ ENCFF367ZVN	yellow
H3K27me3 mesendoderm_originated_from_H1-hESC 2682 39 ENCFF389GSX ENCFF316BHL	red
DNASE	H1-hESC	70	40	ENCFF131HMO	ENCFF983UCL	yellow
H3K27ac	H1-hESC	732	41	ENCFF423TVA	ENCFF520LUH	yellow
H3K4me1	H1-hESC	2291	42	ENCFF593OAZ	ENCFF711NNX	red
H3K4me3	H1-hESC	1509	43	ENCFF372YWG	ENCFF760ZNE	red
H3K27me3	H1-hESC	2034	44	ENCFF095OPQ	ENCFF760MIC	red
DNASE	IMR-90	405	45	ENCFF706WOH	ENCFF800DVI	no_flags
H3K27ac IMR-90 1452 46 ENCFF663RRL ENCFF805GNH	red	
H3K4me1 IMR-90 4018 47 ENCFF671AIP ENCFF611UWF	red
H3K4me3 IMR-90 1719 48 ENCFF721URL ENCFF093NQC	red
H3K27me3 IMR-90 2771 49 ENCFF427IDA ENCFF336IXL	red
DNASE	foreskin_fibroblast_male_newborn	92	50	ENCFF111BCZ	ENCFF229XJM	yellow
H3K27ac foreskin_fibroblast_male_newborn 1789 51 ENCFF421TPV ENCFF931RCC	yellow
H3K4me1 foreskin_fibroblast_male_newborn 2502 52 ENCFF972TYZ ENCFF184BXM	red
H3K4me3 foreskin_fibroblast_male_newborn 1184 53 ENCFF259BDX ENCFF354DSC	yellow
H3K27me3 foreskin_fibroblast_male_newborn 2333 54 ENCFF027GWJ ENCFF987CGS	red
DNASE	neural_stem_progenitor_cell_originated_from_H1-hESC	305	55	ENCFF372SLF	ENCFF732IUC	yellow
H3K27ac neural_stem_progenitor_cell_originated_from_H1-hESC 3928 56 ENCFF827WME ENCFF285PPN	yellow
